Bigram Table--The chairman made the decision to bring in a new financial planner
,the,chairman,made,decision,to,bring,in,a,new,financial,planner
last,0.0001986491855383393,0.0001986491855383393,0.0001986491855383393,0.0001986491855383393,0.0001986491855383393,0.0001986491855383393,0.0001986491855383393,0.0001986491855383393,0.0009932459276916965,0.0001986491855383393,0.0001986491855383393,0.0001986491855383393,0.0001986491855383393
year,0.0001976284584980237,0.0001976284584980237,0.0003952569169960474,0.0001976284584980237,0.0001976284584980237,0.0001976284584980237,0.0001976284584980237,0.0001976284584980237,0.0001976284584980237,0.0001976284584980237,0.0001976284584980237,0.0001976284584980237,0.0001976284584980237
said,0.00738356683074593,0.0001893222264293828,0.0003786444528587656,0.0001893222264293828,0.0001893222264293828,0.0001893222264293828,0.0001893222264293828,0.0001893222264293828,0.0001893222264293828,0.0001893222264293828,0.0001893222264293828,0.0003786444528587656,0.0001893222264293828
by,0.008175978197391473,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986,0.00019466614755693986
chief,0.00019241870309794111,0.00019241870309794111,0.00038483740619588223,0.00019241870309794111,0.00019241870309794111,0.00019241870309794111,0.00019241870309794111,0.00019241870309794111,0.00019241870309794111,0.00019241870309794111,0.00019241870309794111,0.00019241870309794111,0.028285549355397344
executive,0.0001926040061633282,0.0001926040061633282,0.022149460708782744,0.0001926040061633282,0.0001926040061633282,0.0001926040061633282,0.0001926040061633282,0.0001926040061633282,0.0001926040061633282,0.0003852080123266564,0.0001926040061633282,0.0001926040061633282,0.0001926040061633282
 
The profit of the company was going down last year said by the chief executiveprobability
Bigram Probabilty,Bigram Smoothing Probabilty
0.0,2.384283689602772e-47
